close,date,high,low,open,ticker,volume
0.08,2020-01-16,0.08,0.08,0.08,FGPHF,10000
0.094,2020-01-21,0.094,0.094,0.094,FGPHF,11552
0.08,2020-01-22,0.08,0.08,0.08,FGPHF,7700
0.091,2020-01-23,0.091,0.09,0.09,FGPHF,23700
0.129,2020-01-28,0.13,0.12,0.125,FGPHF,161380
0.16,2020-01-29,0.2,0.15,0.15,FGPHF,29600
0.18,2020-01-30,0.18,0.115,0.115,FGPHF,40450
0.139,2020-01-31,0.175,0.139,0.175,FGPHF,20050
0.13,2020-02-03,0.13,0.13,0.13,FGPHF,127305
0.129,2020-02-04,0.14,0.114,0.12,FGPHF,36933
0.15,2020-02-05,0.15,0.12,0.14,FGPHF,36260
0.15,2020-02-06,0.15,0.129,0.15,FGPHF,127400
0.124,2020-02-07,0.15,0.124,0.15,FGPHF,81500
0.13,2020-02-10,0.135,0.13,0.135,FGPHF,9000
0.129,2020-02-11,0.13,0.129,0.13,FGPHF,19692
0.14,2020-02-12,0.14,0.14,0.14,FGPHF,30676
0.14,2020-02-13,0.14,0.1185,0.14,FGPHF,31010
0.12,2020-02-14,0.145,0.12,0.12,FGPHF,21071
0.13,2020-02-18,0.13,0.13,0.13,FGPHF,13692
0.135,2020-02-19,0.14,0.135,0.14,FGPHF,20650
0.135,2020-02-21,0.14,0.12,0.14,FGPHF,56500
0.115,2020-02-24,0.14,0.115,0.115,FGPHF,83419
0.11,2020-02-25,0.124,0.109,0.124,FGPHF,21210
0.12,2020-02-26,0.125,0.108,0.125,FGPHF,34004
0.108,2020-02-27,0.125,0.108,0.12,FGPHF,36450
0.1,2020-02-28,0.1,0.07,0.07,FGPHF,41750
0.1,2020-03-02,0.1,0.1,0.1,FGPHF,10000
0.11,2020-03-03,0.11,0.11,0.11,FGPHF,5920
0.13,2020-03-04,0.13,0.104,0.104,FGPHF,10100
0.085,2020-03-05,0.085,0.085,0.085,FGPHF,10000
0.0819,2020-03-12,0.0819,0.0819,0.0819,FGPHF,14920
0.074,2020-03-13,0.075,0.071,0.074,FGPHF,54097
0.075,2020-03-16,0.075,0.075,0.075,FGPHF,5000
0.06,2020-03-24,0.06,0.06,0.06,FGPHF,11750
0.075,2020-03-25,0.075,0.075,0.075,FGPHF,4700
0.05,2020-03-26,0.075,0.05,0.075,FGPHF,18500
0.05,2020-03-30,0.05,0.05,0.05,FGPHF,20833
0.06,2020-04-06,0.06,0.06,0.06,FGPHF,5000
0.08,2020-04-20,0.08,0.08,0.08,FGPHF,2000
0.08,2020-04-27,0.08,0.08,0.08,FGPHF,5000
0.06,2020-04-28,0.06,0.06,0.06,FGPHF,500
0.11,2020-04-29,0.11,0.11,0.11,FGPHF,100
0.099,2020-04-30,0.099,0.099,0.099,FGPHF,8000
0.11,2020-05-01,0.11,0.11,0.11,FGPHF,900
0.1,2020-05-05,0.1,0.1,0.1,FGPHF,1510
0.06,2020-05-06,0.084,0.06,0.084,FGPHF,26000
0.072,2020-05-07,0.072,0.072,0.072,FGPHF,4998
0.08,2020-05-08,0.09,0.072,0.072,FGPHF,15000
0.075,2020-05-14,0.075,0.075,0.075,FGPHF,17880
0.075,2020-05-18,0.075,0.075,0.075,FGPHF,2500
0.075,2020-05-19,0.075,0.075,0.075,FGPHF,2746
0.095,2020-05-22,0.095,0.095,0.095,FGPHF,5000
0.1,2020-05-27,0.12,0.1,0.1,FGPHF,1300
0.06,2020-05-29,0.06,0.06,0.06,FGPHF,500
0.082,2020-06-02,0.082,0.082,0.082,FGPHF,7500
0.086,2020-06-03,0.086,0.086,0.086,FGPHF,5000
0.086,2020-06-09,0.086,0.086,0.086,FGPHF,5000
0.09,2020-06-11,0.09,0.09,0.09,FGPHF,5000
0.12,2020-06-12,0.12,0.12,0.12,FGPHF,55000
0.12,2020-06-15,0.12,0.11,0.11,FGPHF,4866
0.071,2020-06-17,0.11,0.071,0.11,FGPHF,5166
0.075,2020-06-19,0.075,0.075,0.075,FGPHF,16025
0.085,2020-06-23,0.085,0.085,0.085,FGPHF,11000
0.09,2020-06-24,0.12,0.09,0.099,FGPHF,14605
0.09,2020-06-25,0.1,0.09,0.1,FGPHF,51880
0.1,2020-06-26,0.1,0.09,0.09,FGPHF,2550
0.089,2020-06-29,0.089,0.07,0.089,FGPHF,13600
0.09,2020-07-01,0.1,0.089,0.089,FGPHF,46600
0.07,2020-07-02,0.094,0.07,0.094,FGPHF,15700
0.08,2020-07-06,0.14,0.08,0.089,FGPHF,31657
0.13,2020-07-07,0.14,0.094,0.094,FGPHF,3006
0.095,2020-07-08,0.14,0.095,0.14,FGPHF,29600
0.094,2020-07-09,0.105,0.071,0.105,FGPHF,54796
0.09,2020-07-13,0.1,0.08,0.1,FGPHF,20050
0.1,2020-07-14,0.13,0.066,0.13,FGPHF,132979
0.06,2020-07-15,0.14,0.06,0.14,FGPHF,6600
0.1,2020-07-16,0.14,0.1,0.13,FGPHF,2950
0.09,2020-07-17,0.13,0.08,0.13,FGPHF,20300
0.1,2020-07-21,0.14,0.08,0.09,FGPHF,34500
0.095,2020-07-23,0.14,0.07,0.1,FGPHF,47933
0.14,2020-07-24,0.14,0.07,0.072,FGPHF,65025
0.115,2020-07-27,0.14,0.099,0.138,FGPHF,23700
0.14,2020-07-28,0.14,0.115,0.115,FGPHF,20130
0.09,2020-07-29,0.14,0.09,0.14,FGPHF,6268
0.105,2020-07-30,0.14,0.08,0.14,FGPHF,62400
0.1,2020-07-31,0.115,0.08,0.105,FGPHF,135197
0.115,2020-08-03,0.115,0.08,0.08,FGPHF,1800
0.076,2020-08-04,0.076,0.076,0.076,FGPHF,100030
0.115,2020-08-05,0.115,0.115,0.115,FGPHF,1000
0.105,2020-08-06,0.105,0.0975,0.0975,FGPHF,1250
0.09,2020-08-07,0.115,0.09,0.11,FGPHF,9355
0.0975,2020-08-10,0.11,0.0975,0.105,FGPHF,15300
0.0975,2020-08-12,0.0975,0.0975,0.0975,FGPHF,1000
0.1,2020-08-13,0.115,0.08,0.115,FGPHF,2200
0.1,2020-08-14,0.115,0.08,0.115,FGPHF,14455
0.114,2020-08-17,0.125,0.11,0.11,FGPHF,94561
0.114,2020-08-18,0.114,0.11,0.114,FGPHF,12875
0.12,2020-08-19,0.14,0.11,0.11,FGPHF,73314
0.09,2020-08-20,0.14,0.09,0.14,FGPHF,29100
0.13,2020-08-21,0.16,0.093,0.104,FGPHF,44670
0.09,2020-08-24,0.105,0.09,0.1,FGPHF,71157
0.09,2020-08-25,0.109,0.08075,0.08075,FGPHF,5378
0.104,2020-08-26,0.106,0.1,0.105,FGPHF,32125
0.19,2020-08-27,0.19,0.105,0.105,FGPHF,9450
0.14,2020-08-28,0.14,0.09,0.1,FGPHF,37375
0.105,2020-08-31,0.139,0.105,0.139,FGPHF,128350
0.105,2020-09-01,0.139,0.09,0.139,FGPHF,88750
0.11075,2020-09-02,0.13,0.1,0.11,FGPHF,38700
0.1,2020-09-03,0.12,0.1,0.11,FGPHF,78150
0.097,2020-09-04,0.125,0.0915,0.125,FGPHF,68064
0.125,2020-09-08,0.125,0.105,0.1099,FGPHF,12393
0.125,2020-09-09,0.125,0.125,0.125,FGPHF,12000
0.104,2020-09-10,0.125,0.0916,0.125,FGPHF,227007
0.12,2020-09-11,0.125,0.1,0.1,FGPHF,76000
0.125,2020-09-14,0.14,0.0916,0.14,FGPHF,266844
0.08,2020-09-15,0.12,0.08,0.099063,FGPHF,260064
